90	118	87	87	87	87	118	160	87	90	
118	118	138	118	90	206	118	178	118	118	
87	87	160	87	118	87	90	87	47	87	
87	87	87	87	87	118	87	87	178	87	
87	118	134	250	118	87	87	87	87	87	
230	118	87	118	118	132	250	118	118	87	
87	118	90	156	112	118	182	92	87	87	
156	87	90	87	250	87	118	87	176	158	
178	112	118	87	118	250	118	112	87	87	
87	87	87	87	87	87	87	87	87	87	
231	118	128	158	250	112	112	90	87	158	
157	87	180	87	87	87	87	87	87	87	
87	128	118	87	87	162	87	90	87	87	
118	161	87	158	118	112	87	134	90	87	
134	118	118	132	87	158	90	128	87	112	
118	132	118	118	132	118	135	250	138	118	
87	87	118	67	67	87	220	87	87	87	
87	118	130	87	118	90	118	140	87	118	
87	118	138	128	178	250	118	118	134	173	
112	128	87	118	87	156	118	118	90	87	
128	263	87	128	128	118	118	118	118	90	
118	87	90	87	67	87	250	87	160	118	
118	118	180	112	118	250	87	112	118	87	
87	87	87	87	87	87	250	112	138	87	
206	128	355	128	132	118	118	118	128	132	
144	113	144	144	118	166	87	87	87	87	
153	563	173	132	128	250	112	138	128	87	
135	112	87	250	87	112	87	90	118	156	
128	112	87	87	87	118	87	87	87	118	
118	87	87	90	107	87	87	87	112	87	
87	87	128	263	128	250	87	87	128	128	
341	128	118	67	87	263	118	118	118	128	
341	87	87	118	263	228	87	118	87	87	
87	560	90	0	133	151	250	87	118	118	
87	118	87	118	134	87	92	92	87	87	
112	112	112	112	112	87	90	112	112	132	
132	342	235	133	90	90	250	220	196	90	
178	133	112	92	92	206	112	87	112	112	
79	132	87	87	250	151	87	220	326	134	
177	90	180	118	250	112	92	118	112	87	
90	112	138	118	118	112	132	87	90	118	
87	87	233	87	151	87	87	118	87	87	
180	130	118	92	87	250	118	90	118	118	
42	177	87	118	87	118	250	158	87	87	
132	257	361	0	175	151	132	235	128	250	
87	87	90	87	87	173	263	250	87	90	
130	87	118	133	90	87	87	87	160	250	
128	88	140	128	173	206	87	128	133	173	
150	107	110	0	107	107	180	270	107	107	
173	112	178	87	87	112	250	198	87	132	
128	87	87	90	90	272	220	90	87	118	
87	482	133	196	118	250	239	158	132	87	
180	128	134	92	118	128	128	87	263	128	
207	113	87	112	180	118	87	151	87	250	
113	87	87	118	113	87	87	87	118	87	
118	118	128	118	118	180	118	98	87	118	
87	231	87	173	206	87	87	118	160	87	
118	87	87	87	128	87	87	112	90	87	
189	128	207	207	128	250	90	128	138	128	
87	130	87	87	132	294	229	112	87	162	
87	156	196	132	132	134	250	220	160	133	
132	87	87	87	87	87	113	87	87	87	
87	90	162	158	112	206	156	87	87	130	
133	118	180	87	87	87	90	87	250	118	
132	118	87	90	178	112	118	134	87	118	
154	132	87	132	79	118	90	118	87	87	
170	231	354	128	235	87	87	196	250	216	
340	118	112	87	87	160	134	118	118	118	
173	407	240	0	178	87	87	151	220	250	
132	87	87	87	87	250	87	87	87	67	
90	90	90	87	90	180	118	87	87	87	
118	118	90	118	132	87	112	98	87	87	
133	598	128	0	235	196	87	158	250	118	
